City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,camiri,-20.05,-63.5167,297.03,83,75,0.0,BO,1739127702
297,mount gambier,-37.8333,140.7667,290.23,79,88,4.88,AU,1739127703
298,amalapuram,16.5833,82.0167,294.22,97,7,0.77,IN,1739127705
299,aykhal,66.0,111.5,247.36,100,100,3.41,RU,1739127706
300,rio cauto,20.5603,-76.9161,307.37,24,0,6.09,CU,1739127707
301,barra de santo antonio,-9.4047,-35.5072,300.85,68,100,4.89,BR,1739127686
302,tralee,52.2704,-9.7026,279.29,93,100,4.12,IE,1739127711
303,san rafael del yuma,18.4299,-68.6739,302.26,52,0,6.5,DO,1739127712
304,flin flon,54.7682,-101.865,253.06,71,100,3.6,CA,1739127713
305,mana,5.6592,-53.7767,301.09,65,99,4.26,GF,1739127714
306,port elizabeth,-33.918,25.5701,293.88,86,89,1.34,ZA,1739127653
307,callao,-12.0667,-77.15,300.31,65,0,6.17,PE,1739127716
308,vilyuysk,63.7553,121.6247,247.86,92,100,2.43,RU,1739127719
309,kalmunai,7.4167,81.8167,297.82,71,46,3.02,LK,1739127630
310,kanpur,26.4667,80.35,288.52,35,26,1.73,IN,1739127673
311,usogorsk,63.4106,48.6872,267.18,90,38,3.27,RU,1739127722
312,pueblo,38.2545,-104.6091,277.91,38,8,2.1,US,1739127513
313,konarka,19.9,86.1167,295.89,80,6,2.43,IN,1739127724
314,tofol,5.3248,163.0078,299.03,94,75,4.12,FM,1739127726
315,agropoli,40.3469,14.9966,282.99,80,87,1.41,IT,1739127727
316,extrema,-22.8547,-46.3183,298.61,65,78,2.52,BR,1739127630
317,sungailiat,-1.85,106.1333,298.55,86,100,4.63,ID,1739127729
318,yaren,-0.5472,166.916,299.25,75,2,5.96,NR,1739127730
319,villa gesell,-37.2639,-56.973,293.53,59,24,5.62,AR,1739127524
320,almeirim,-1.5233,-52.5817,298.5,93,86,1.35,BR,1739127674
321,jianguang,28.1938,115.7836,277.61,38,88,1.31,CN,1739127645
322,lepsy,46.235,78.9456,258.25,93,6,0.74,KZ,1739127736
323,horta,38.5333,-28.6333,287.05,81,75,6.17,PT,1739127737
324,severo-yeniseyskiy,60.3725,93.0408,264.17,95,100,4.15,RU,1739127738
325,antsiranana,-12.2787,49.2917,298.18,91,44,2.03,MG,1739127739
326,richards bay,-28.783,32.0377,298.11,68,100,6.23,ZA,1739127610
327,constantia,44.1833,28.65,269.65,72,81,6.23,RO,1739127741
328,semey,50.4111,80.2275,260.22,97,98,2.56,KZ,1739127743
329,korfez,40.7767,29.7297,274.73,81,90,3.24,TR,1739127744
330,hotan,37.0997,79.9269,272.26,47,9,0.77,CN,1739127745
331,uturoa,-16.7333,-151.4333,300.81,68,1,2.96,PF,1739127746
332,ghanzi,-21.5667,21.7833,301.48,34,64,1.96,BW,1739127748
333,brush,40.2589,-103.6238,276.72,35,0,2.57,US,1739127749
334,san antonio de pale,-1.4014,5.6325,301.08,78,100,2.38,GQ,1739127750
335,raduzhny,62.0961,77.475,268.79,97,100,3.75,RU,1739127751
336,kegen,43.0197,79.2203,261.53,83,98,2.05,KZ,1739127753
337,leava,-14.3,-178.1667,302.15,75,92,6.34,WF,1739127754
338,mukalla,14.5425,49.1242,295.42,79,48,1.53,YE,1739127532
339,camana,-16.6228,-72.7111,297.6,81,92,3.32,PE,1739127758
340,puerto armuelles,8.2833,-82.8667,301.53,58,100,1.34,PA,1739127760
341,murun-kuren,49.6342,100.1625,256.31,95,100,0.94,MN,1739127761
342,karratha,-20.7377,116.8463,308.1,43,97,0.73,AU,1739127762
343,ardakan,32.31,54.0175,275.24,65,35,3.76,IR,1739127763
344,knyaze-volkonskoye,48.4642,135.4567,258.34,97,100,1.48,RU,1739127764
345,kamina,-8.7386,24.9906,291.74,94,72,0.92,CD,1739127765
346,grand rapids,42.9634,-85.6681,269.88,65,100,4.02,US,1739127635
347,ferkessedougou,9.6,-5.2,304.22,13,14,1.85,CI,1739127737
348,kitimat,54.0524,-128.6534,266.87,78,23,1.53,CA,1739127769
349,petrovsk,52.3064,45.3917,260.93,91,5,3.41,RU,1739127770
350,kyzyl-suu,42.3414,78.0056,270.29,67,97,3.87,KG,1739127771
351,itoman,26.1247,127.6694,286.16,58,47,3.09,JP,1739127772
352,nizhniy kuranakh,58.8353,125.4869,236.65,99,24,0.6,RU,1739127773
353,west end,26.6833,-78.9667,296.98,79,0,2.01,BS,1739127632
354,charters towers,-20.1,146.2667,295.06,97,100,2.24,AU,1739127776
355,griffith,41.5284,-87.4237,272.12,58,40,2.57,US,1739127777
356,sur,22.5667,59.5289,295.05,76,100,2.31,OM,1739127778
357,lihue,21.9789,-159.3672,295.92,78,20,2.06,US,1739127779
358,freetown,8.484,-13.2299,299.25,75,5,3.65,SL,1739127780
359,barcelos,41.5388,-8.6151,285.68,97,100,0.82,PT,1739127781
360,manokwari,-0.8667,134.0833,299.48,76,100,3.8,ID,1739127782
361,malango,-2.9627,119.9001,291.71,96,100,1.56,ID,1739127783
362,enewetak,11.3474,162.3373,299.9,81,92,8.35,MH,1739127785
363,bayganin,48.6947,55.8742,263.02,83,4,6.0,KZ,1739127788
